nct_id	disease	type	txt
NCT00007189	alz	inclusion	Study partner available to provide information on the cognitive status of the participant and to assist with monitoring of trial medications, if needed.
NCT00007189	alz	inclusion	Sufficient fluency in written and spoken English to participate in study visits and neuropsychological testing.
NCT00007189	alz	inclusion	Family history of parent, brother, or sister who has, or had, serious age-related memory loss, senility, dementia, or Alzheimer's disease.
NCT00007189	alz	inclusion	Provision of informed consent.
NCT00007189	alz	exclusion	History of peptic ulcer disease with bleeding or obstruction.
NCT00007189	alz	inclusion	Willingness to limit use of the following for the duration of the study: vitamin E (at doses greater than 400 IU per day), non-aspirin NSAIDs, histamine H2 receptor antagonists (Tagamet, for example), corticosteroids, anti-inflammatory or analgesic doses of aspirin (greater than 81 mg per day), Ginkgo biloba extracts
NCT00007189	alz	inclusion	Ability and intention to participate in regular study visits, in the opinion of the study physician.
NCT00007189	alz	exclusion	Use of anti-coagulant medication.
NCT00007189	alz	exclusion	Cognitive impairment or dementia.
NCT00007189	alz	exclusion	Clinically significant liver or kidney disease.
NCT00007189	alz	exclusion	History of hypersensitivity to aspirin, ibuprofen, celecoxib, naproxen, or other NSAIDs.
NCT00007189	alz	inclusion	Aged 70 years or older.
NCT00007189	alz	exclusion	Current alcohol abuse or dependence
NCT00056524	alz	inclusion	If female, must not be pregnant or breast feeding
NCT00056524	alz	inclusion	18 to 75 years of age, inclusive
NCT00056524	alz	inclusion	Clinical diagnosis of PBA (pseudobulbar affect)
NCT00056524	alz	exclusion	Currently participated in a trial within the past 30 days
NCT00056524	alz	exclusion	Sensitivity to quinidine or any opiate drugs
NCT00056524	alz	exclusion	Current or prior history of major psychiatric disturbance
NCT00066157	alz	exclusion	Liver problems including hepatitis
NCT00066157	alz	exclusion	Severe vision or hearing problems
NCT00066157	alz	exclusion	Tobacco use
NCT00066157	alz	exclusion	Lack of an adequate caregiver
NCT00066157	alz	inclusion	Postmenopausal women with Alzheimer's disease and without other dementias (diagnosed by study staff or from an outside clinic)
NCT00066157	alz	inclusion	Mini Mental State Examination score greater than 15/30
NCT00066157	alz	exclusion	History of cancer of reproductive tissues
NCT00066157	alz	exclusion	History of deep vein thrombosis or blot clots
NCT00066157	alz	exclusion	Diabetes
NCT00066157	alz	exclusion	Heart disease or stroke
NCT00066157	alz	exclusion	inability to perform psychometric testing
NCT00083590	alz	inclusion	Stable medical condition for 3 months prior to screening.
NCT00083590	alz	inclusion	NINDS/ADRDA criteria for probable AD.
NCT00083590	alz	inclusion	Mini Mental State Examination between 10 and 24, inclusive.
NCT00083590	alz	inclusion	Able to complete baseline assessments.
NCT00083590	alz	inclusion	6 years of education, or work history sufficient to exclude mental retardation.
NCT00083590	alz	inclusion	Able to ingest oral medication.
NCT00083590	alz	inclusion	Stable doses of medications for 4 weeks prior to screening.
NCT00083590	alz	inclusion	Physically acceptable for this study as confirmed by medical history, physical exam, neurological exam and clinical tests.
NCT00083590	alz	exclusion	History of active peptic ulcer disease within 1 year of screening.
NCT00083590	alz	exclusion	Clinically significant cardiac arrhythmia.
NCT00083590	alz	inclusion	Supervision available for administration of study medications.
NCT00083590	alz	inclusion	Study partner to accompany participant to all scheduled visits.
NCT00083590	alz	inclusion	Fluent in English or Spanish.
NCT00083590	alz	inclusion	Age 55 years or older.
