nct_id	disease	type	txt
NCT00034762	alz	inclusion	A diagnosis of dementia of the Alzheimer's type with or without a vascular component, a score of 2 or more on any item of the BEHAVE-AD psychosis subscale at screening, and a Mini-Mental State Examination (MMSE) score of 5 to 23
NCT00034762	alz	exclusion	Disease that could significantly diminish cognitive function
NCT00034762	alz	exclusion	history of neuroleptic malignant syndrome
NCT00034762	alz	exclusion	hypersensitivity to risperidone.
NCT00034762	alz	inclusion	Residents of nursing homes or long-term care facilities and deemed in need of treatment with an atypical antipsychotic medication.
NCT00051909	alz	inclusion	Must have a clinical diagnosis of Alzheimer's Disease
NCT00051909	alz	exclusion	Has had a menstrual period in the last two years
NCT00051909	alz	exclusion	Takes insulin for diabetes
NCT00051909	alz	exclusion	Has taken Aricept, Reminyl, or Exelon in the last 5 weeks
NCT00051909	alz	exclusion	Has serious health problems other than Alzheimer's Disease
NCT00051909	alz	inclusion	Must be at least 50 years of age
NCT00051909	alz	inclusion	Must fluently read and speak English
NCT00051909	alz	inclusion	Must have a reliable caregiver
NCT00051909	alz	exclusion	Cannot swallow whole pills
NCT00056225	alz	exclusion	Active neoplastic disease (skin tumors other than melanoma are not exclusionary; patients with stable prostate cancer may be included at the discretion of the project director)
NCT00056225	alz	exclusion	Use of another investigational agent within 2 months
NCT00056225	alz	exclusion	History of clinically significant stroke
NCT00056225	alz	exclusion	Current evidence or history in the past 2 years of epilepsy, focal brain lesion, head injury with loss of consciousness and/or immediate confusion after the injury, or DSM-IV criteria for any major psychiatric disorder including psychosis, major depression, bipolar disorder, alcohol or substance abuse
NCT00056225	alz	exclusion	Blindness, deafness, language difficulties or any other disability which may prevent the subject from participating or cooperating in the protocol
NCT00056225	alz	inclusion	Supervision available for administration of study medications
NCT00056225	alz	inclusion	Able to ingest oral medication
NCT00056225	alz	exclusion	B12 or folate deficiency
NCT00056225	alz	exclusion	Renal insufficiency (serum creatinine >=2.0)
NCT00056225	alz	inclusion	National Institute of Neurological Disorders and Stroke (NINDS)/Alzheimer's Disease and Related Disorders Association (ADRDA) criteria for probable Alzheimer's disease.
NCT00056225	alz	inclusion	Mini-Mental Status Examination (MMSE) score between 14 and 26, inclusive
NCT00056225	alz	inclusion	Stable medical condition for 3 months
NCT00056225	alz	inclusion	Stable medications for 4 weeks prior to the screening visit
NCT00056225	alz	inclusion	Physically acceptable for this study as confirmed by medical history, physical exam, neurologic exam and clinical laboratory tests
NCT00056225	alz	inclusion	Able to complete baseline assessments
NCT00056225	alz	inclusion	Study partner to accompany subject to all scheduled visits
NCT00056225	alz	inclusion	Fluent in English or Spanish
NCT00056225	alz	inclusion	Modified Hachinski equal to or less than 4 CT or magnetic resonance imaging (MRI) since onset of memory impairment demonstrating absence of clinically significant focal lesion
NCT00056225	alz	inclusion	6 years of education or work history sufficient to exclude mental retardation
NCT00056329	alz	inclusion	Presence of clinically determined Down syndrome (karyotypes optional).
NCT00056329	alz	inclusion	Medically stable.
NCT00056329	alz	inclusion	Appropriately signed and witnessed consent form.
NCT00056329	alz	inclusion	Involvement/cooperation of informant/caregiver.
NCT00056329	alz	exclusion	Medical/neurological condition (other than Alzheimer's disease) associated with dementia.
NCT00056329	alz	inclusion	Medications stable over 3 months.
NCT00056329	alz	exclusion	Current use of anti-coagulants.
NCT00056329	alz	exclusion	Use of experimental medications within 3 months.
NCT00056329	alz	exclusion	Regular use of vitamin E greater than 50 units per day during the previous 6 months.
NCT00056329	alz	exclusion	Major depression within 3 months.
NCT00056329	alz	exclusion	History of any disorder of blood coagulation (inherited or acquired).
NCT00056329	alz	exclusion	Brief Praxis Test score <20.
NCT00056329	alz	exclusion	Modified Hachinski score >4.
NCT00063310	alz	inclusion	values on their screening laboratory tests do not indicate significant medical conditions that would interfere with their participation in and completion of the study
NCT00063310	alz	exclusion	Patients with any of the exclusion criteria listed below will be ineligible for entry into the study. Patients will be declared ineligible if:
NCT00063310	alz	inclusion	Patients who satisfy all of the inclusion criteria listed below will be eligible for entry into the trial. Patients will be considered eligible if:
NCT00063310	alz	inclusion	They give their consent by signing the IRB-approved Informed Consent Form and the responsible caregiver also signs the consent form; or, if the patient is judged by the Investigator to be unable to give consent, if the legally authorized representative gives consent by signing the consent form and the patient gives assent, in accord with local regulations;
NCT00063310	alz	exclusion	They are male;
NCT00063310	alz	inclusion	Absorptiometry (dual-energy x-ray absorpometry (DEXA) scan), performed at screening, was within normal limits (i.e., a T- score of no less than -2.0); or, if their DEXA measure was abnormally low, they were receiving treatment for osteoporosis for at least 3 weeks and that treatment is not expected to change during the course of the trial; or, if their DEXA measure was abnormally low and they are not receiving treatment for osteoporosis, they may enter the trial after 3 weeks of treatment provided that assessments of the HamD, concomitant medications, ECG tracing and laboratory tests performed within 45 days of baseline show that they are eligible.
NCT00063310	alz	inclusion	They have a diagnosis of probable AD according to the National Institute of Neurological Disorders-Alzheimer's Disease and Related Disorders Association (NINDS-ADRDA) criteria and the Investigator ascertains that the condition was present at least 6 months prior to screening;
NCT00063310	alz	inclusion	They are taking a cholinesterase inhibitor, they began taking it at least 90 days prior to baseline and, in the Investigator's opinion, the dosage will likely remain stable throughout the trial;
NCT00063310	alz	inclusion	They are female;
NCT00063310	alz	inclusion	They are 65 years of age or older;
NCT00063310	alz	inclusion	They have had a brain imaging study (CT scan, MRI or PET) performed at the time of their initial diagnosis of AD or after that time, and the findings were consistent with a diagnosis of probable AD, or, if a brain imaging study has not been performed, one will be performed during the screening process;
NCT00063310	alz	inclusion	Their Rosen Modified Hachinski score was 4 or lower at the screening visit, supporting the Investigator's clinical judgment that the patient's dementia is probable AD and not of vascular origin;
NCT00063310	alz	inclusion	They are taking other drugs or substances that have purported cognition enhancing properties such as ginkgo biloba and Vitamin E, they began taking it at least 60 days prior to baseline and, in the Investigator's opinion, the dosage will likely remain stable throughout the trial;
NCT00063310	alz	inclusion	They score no lower than 12 or higher than 24 on the (MMSE) administered at the screening visit;
NCT00063310	alz	inclusion	Their hormone replacement therapy (HRT), if any, has been stable for at least 60 days prior to baseline, and is not expected to change during the course of the trial;
NCT00063310	alz	inclusion	They score less than 15 on the Hamilton Depression Scale (17-item version) (HamD) administered as part of the screening evaluation;
NCT00063310	alz	exclusion	They started or changed within 60 days prior to the screening visit the dosage of any drug (including an over the counter drug) that affects cognitive function, such as neuroleptics, antidepressants, anxiolytics, sedatives, hypnotics, anti-convulsants, centrally acting antihypertensive agents such as clonidine and Aldomet; or other medications that have been shown to have possible effects on cognition such as Vitamin E, non steroidal anti-inflammatory drugs, statins, and hormone replacement therapy, or if, in the Investigator's opinion, the dosage of such medication is likely to be changed during the course of this trial. Any changes in the dosage of any of these drugs during the course of the trial and the reason for the change must be fully recorded in the concomitant medication page of the patient's case report form (CRF). If a drug that affects cognition is given on a PRN basis, such treatment should be interrupted for 12 hours before a visit, it at all possible;
NCT00063310	alz	exclusion	They are receiving coumadin or anti-Parkinsonian medications;
NCT00063310	alz	exclusion	They have received other investigational drugs within 30 days or 5 half-lives prior to randomization, whichever is longer;
NCT00063310	alz	exclusion	They are taking other medications known to affect serum gonadotropin (Gn) concentrations, such as goserelin or danazol, except for estrogen and/or progesterone;
NCT00063310	alz	exclusion	They have a history of bone fracture possibly secondary to low bone mass density;
NCT00063310	alz	exclusion	They have a history of osteoporosis not associated with bone fracture unless they are receiving therapy for osteoporosis for at least 3 weeks, and the treatment regimen is expected to stay stable their DEXA measures were abnormally low (i.e., T-score <-2.0) and they were not receiving treatment for osteoporosis for at least 3 weeks;
NCT00063310	alz	exclusion	They are younger than 65 years of age;
NCT00063310	alz	exclusion	They have significant neurological disease affecting the brain or psychiatric disease other than AD, such as major depression, schizophrenia, epilepsy, Parkinson's disease, or stroke;
NCT00063310	alz	exclusion	They have current significant systemic illness or symptoms of organ failure;
NCT00063310	alz	inclusion	They are fluent in English or Spanish and completed at least 6 years of education;
NCT00063310	alz	inclusion	They live at home or in a congregate living facility for requirements other than skilled nursing care, and have a caregiver who sees the patient at least three time a week for a total of at least 10 hours and can sign the consent form, provide information pertinent to the patient's cognitive status, accompany the patient on clinic visits and participate in the evaluations;
NCT00063310	alz	exclusion	They are taking a cholinesterase inhibitor (tacrine, donepezil, rivastigmine, or galantamine) for less than 90 days prior to baseline; or, in the opinion of the Investigator, they are likely to either require a change in dose or discontinuation of the drug
NCT00063310	alz	exclusion	They have never received cholinesterase inhibitor treatment and are likely to initiate it;
NCT00063310	alz	exclusion	They have donated blood within 30 days of baseline or are likely to do so during the course of the trial.
NCT00063310	alz	exclusion	The screening ECG shows evidence of a serious and/or unstable condition or a recent (within 6 months) myocardial infarction;
NCT00063310	alz	exclusion	They have a screening HamD score of 15 or higher;
NCT00063310	alz	exclusion	Their abuse or dependence on alcohol or other substances satisfy criteria for DSM-IV categories 303.9 or 305; or
NCT00063310	alz	exclusion	They have a history of cancer within the last 5 years, except for basal cell or squamous cell cancer, or cervical carcinoma in situ;
NCT00065767	alz	inclusion	Postmenopausal women with Alzheimer's disease and without other dementias (diagnosed by study staff or from an outside clinic)
NCT00065767	alz	exclusion	Diabetes
NCT00065767	alz	exclusion	Active heart disease or stroke
NCT00065767	alz	inclusion	Mini Mental Status Exam score greater than 15/30
NCT00065767	alz	exclusion	History of deep vein thrombosis or blot clots
NCT00065767	alz	exclusion	Tobacco use
NCT00065767	alz	exclusion	Liver problems including hepatitis
NCT00065767	alz	exclusion	Severe vision or hearing problems
NCT00071721	alz	inclusion	NPI item score for the items assessing delusions, hallucinations, agitation/aggression all greater than or equal to 1 for 4 weeks prior to Screening (less than once/week and mild severity at most) and for the period between Screening and Baseline.
NCT00071721	alz	exclusion	Current evidence or history in past two years of: focal brain lesion, head injury with loss of consciousness or Diagnostic and Statistical Manual of Mental Disorders, 4th Edition (DSM-IV) criteria for any major psychiatric disorder including psychosis, major depression, bipolar disorder, alcohol or substance abuse.
NCT00071721	alz	inclusion	Scores of greater than or equal to 1 for items rating delusions, hallucinations, and agitation/aggression taken from the NPI, modified to assess these features since onset of illness. This will be derived from a second interview with the modified NPI. (Agitation/psychosis during episodes of delirium are not considered exclusionary.).
NCT00071721	alz	exclusion	History of clinically significant stroke.
NCT00071721	alz	inclusion	Total Neuropsychiatric Inventory (NPI) score for previous 4 weeks < 8 at Screening, and for the period between Screening and Baseline.
NCT00071721	alz	exclusion	Sensory impairment that would prevent subject from participating in or cooperating with the protocol.
NCT00071721	alz	exclusion	Medical contraindications to study participation.
NCT00071721	alz	exclusion	Exceptions to these criteria may be considered on a case-by-case basis at the discretion of the Project Director:
NCT00071721	alz	exclusion	Non-AD dementia.
NCT00071721	alz	inclusion	Probable AD by National Institute of Neurological Disorders and Stroke (NINDS)-Alzheimer's Disease and Related Disorder Association (ADRDA) criteria.
NCT00071721	alz	inclusion	Males or females.
NCT00071721	alz	exclusion	Presence or previous history of agitation or psychosis requiring active psychotropic medication since the illness began.
NCT00071721	alz	inclusion	Computed tomography (CT) or magnetic resonance imaging (MRI) since onset of dementia consistent with the diagnosis of probable AD. Single lacunes in non-critical areas and non-specific white matter changes that are interpreted as age-related are not grounds for exclusion. Any ambiguous scan results must be reviewed with the Project Director.
NCT00071721	alz	inclusion	Fluent in English or Spanish.
NCT00071721	alz	inclusion	Supervision available for study medication.
NCT00071721	alz	inclusion	Study partner to accompany subject to all visits.
NCT00071721	alz	inclusion	Study partner must have in-person contact with the participant > 2 days/week.
NCT00071721	alz	inclusion	Able to ingest oral medication.
NCT00071721	alz	exclusion	Evidence of any significant clinical disorder or laboratory finding that renders the subject unsuitable for receiving an investigational new drug including clinically significant or unstable hematologic, hepatic, cardiovascular, pulmonary, gastrointestinal, endocrine, metabolic, renal, or other systemic disease or laboratory abnormality.
NCT00071721	alz	exclusion	Clinical contraindication to the use of valproate (e.g., known hypersensitivity or allergic reactions, severe neutropenia, severe hepatic disease, or urea cycle disorder. A urea cycle disorder should be considered in patients with history of unexplained encephalopathy following protein meals, or family history of urea cycle disorder).
NCT00071721	alz	exclusion	History of seizure within past 5 years prior to Screening.
NCT00071721	alz	exclusion	Platelet count < 100,000/mm^3.
NCT00071721	alz	exclusion	Females of child-bearing potential.
NCT00071721	alz	exclusion	Residence in a long-term care facility or equivalent at Baseline.
NCT00071721	alz	exclusion	Use of psychotropics for treatment of agitation or psychosis. Antidepressants used in stable doses for 3 months prior to Screening to treat depression or anxiety, but not agitation, will be permitted. Low dose sedatives for sleep, but not agitation, will be permitted. Cholinesterase inhibitors used in stable doses for at least 3 months prior to Screening are permitted.
NCT00071721	alz	exclusion	Regular use of narcotic analgesics within 3 months of Screening.
NCT00071721	alz	exclusion	Anti-parkinsonian medications (e.g. levodopa, selegiline, pergolide, bromocriptine, pramipexole) within 2 months of Screening.
NCT00071721	alz	exclusion	Use of drugs with significant central anticholinergic or antihistaminic effects (eg, benztropine, trihexyphenidyl, dicyclomine, diphenhydramine, cyproheptadine, diphenoxylate, hydroxyzine, meclizine, prochlorperazine, promethazine) within 2 months of Screening.
NCT00071721	alz	exclusion	Use of other investigational drug studies within two months prior to Screening.
NCT00071721	alz	exclusion	Use of other anticonvulsants within 5 years prior to Screening.
NCT00071721	alz	exclusion	Use of another investigational agent within two months prior to Screening.
NCT00071721	alz	exclusion	Use of tricyclic antidepressants within 1 month prior to Screening.
NCT00071721	alz	exclusion	Regular use of high doses of salicylates at Screening (> 1,300 mg/d).
NCT00071721	alz	exclusion	Vitamin E > 2,100 IU/d within 1 month prior to Screening.
NCT00071721	alz	exclusion	Warfarin use is permitted when approved by the Project Director and INR and PTT criteria are met.
NCT00071721	alz	exclusion	International Normalized Ratio (INR) > 1.2 or partial thromboplastin time (PTT) > 40 seconds.
NCT00071721	alz	exclusion	Active neoplastic disease. Exceptions: skin tumors other than melanoma are not excluded; patients with stable prostate cancer may be included at the discretion of the Project Director; women who have been treated for breast cancer and have no metastases and whose survival is expected to exceed 2 years may be considered for inclusion on a case-by-case basis in consultation with the Project Director; patients with purely localized bladder wall cancers may be included at the discretion of the Project Director. Excluded Medications:
NCT00071721	alz	inclusion	Residing in the community at Screen and Baseline. Participants may reside in assisted living facilities, but not in long-term care nursing facilities or assisted living facilities that provide intensive support for people with dementia nor may they reside in a secure unit necessary for behavioral management.
NCT00071721	alz	inclusion	Mini Mental State Examination (MMSE) at Screen and Baseline 12-20 inclusive.
NCT00071721	alz	exclusion	Use of zidovudine at any time.
NCT00071721	alz	inclusion	> 55 and < 90 years of age.
NCT00071721	alz	inclusion	Weight > 40 kg (88.2 lbs.).
NCT00082602	alz	exclusion	Peptic ulcer disease: if the ulcer is considered to be still active, or if treatment is not successful (symptoms present)
NCT00082602	alz	exclusion	One of the following conditions possibly resulting in cognitive impairment: Acute cerebral trauma or injuries secondary to chronic trauma (such as boxing), hypoxic cerebral damage, whether or not due to acute or chronic cerebral hypoperfusion
NCT00082602	alz	exclusion	Vitamin deficiency states, such as folate, vitamin B12 or other B complex deficiencies
NCT00082602	alz	exclusion	Current clinically significant psychiatric disease, in particular current major depression, schizophrenia, bipolar disorder, moderate to severe or uncontrolled behavioral disturbances
NCT00082602	alz	inclusion	Male or female outpatients diagnosed with Alzheimer's Disease
NCT00082602	alz	exclusion	Neurosyphilis or other infections resulting in cerebral abscesses, meningitis, or encephalitides such as AIDS
NCT00082602	alz	exclusion	Neurodegenerative disorders
NCT00082602	alz	inclusion	History of cognitive decline that had been gradual in onset and progressive over a period of at least six months
NCT00082602	alz	exclusion	Clinically significant urinary outflow obstruction
NCT00082602	alz	inclusion	Age >= 60 years
NCT00082602	alz	inclusion	Presence of mild to moderate dementia as evidenced by Mini Mental State Examination (MMSE) score of 10-24 inclusive at screening
NCT00082602	alz	exclusion	Primary or metastatic cerebral neoplasia
NCT00082602	alz	exclusion	Significant endocrine or metabolic disease e.g., untreated or uncontrolled thyroid, parathyroid or pituitary disease, Cushing's syndrome, severe renal failure or uncontrolled diabetes mellitus
NCT00082602	alz	exclusion	Current, clinically significant cardiovascular disease that would be expected to limit the subject's ability to participate in and complete a 12-Week trial. The following would usually be considered clinically significant cardiovascular diseases: cardiac surgery or myocardial infarction within the past 6 months, angina or coronary artery disease that required a change in anti-angina medication within the last 3 months, decompensated congestive heart failure, cardiac disease potentially resulting in syncope, near syncope or other alterations of mental status, atrial fibrillation, bradycardia < 50/min., atrio-ventricular block > first degree
NCT00082602	alz	exclusion	Severe mitral or aortic valvular disease
NCT00082602	alz	exclusion	Subjects with the following co-existing medical conditions: Any history of epilepsy or convulsions except for febrile convulsions during childhood
NCT00082602	alz	exclusion	Subjects who in the opinion of the investigator are otherwise unsuitable for a trial of this type
NCT00082602	alz	exclusion	History of severe drug allergy or hypersensitivity, including recorded hypersensitivity to cholinesterase inhibitors, choline agonists or identical agents, or bromide
NCT00082602	alz	exclusion	Subjects who have previously been enrolled in other galantamine trials
NCT00082602	alz	exclusion	Subjects who have received an investigational medication within the last 30 days
NCT00082602	alz	exclusion	Clinically significant hepatic, renal, pulmonary, metabolic or endocrine disturbances
NCT00082602	alz	exclusion	Employees of the investigator
NCT00082602	alz	exclusion	Mental retardation or oligophrenia
NCT00082602	alz	exclusion	Multi-infarct dementia or clinically active cerebrovascular disease as evidenced by: a history of a significant cerebrovascular event yielding a physical or neurologic deficit likely to confound the assessment of the subject's intellectual function, multiple focal signs on neurological examination indicative of multiple ischemic attacks, significant findings on an available CT or MRI scan taken within the last 12 months
NCT00082602	alz	exclusion	Uncontrolled high blood pressure (systolic blood pressure > 170 mmHg or diastolic blood pressure > 110 mmHg) or sustained hypotension
NCT00082602	alz	exclusion	Any agent being used for the treatment of dementia (approved, experimental or over the counter agents
NCT00082602	alz	exclusion	Subjects who have previously received Cognexâ, Ariceptâ, metrifonate, Exelonâ, Reminyl, or Namendaâ for treatment of Alzheimer's disease, no matter if approved or experimental can be included in this trial provided that during the 30 days prior to baseline they were not taking these agents
NCT00082602	alz	exclusion	Female subjects of childbearing potential
NCT00082602	alz	exclusion	Conditions that could interfere with the absorption of the compound or with the evaluation of the disease
NCT00082602	alz	exclusion	O History of drug or alcohol abuse within the last year or prior prolonged history of the same
